id,headshot,sweaterNumber,positionCode,shootsCatches,heightInInches,weightInPounds,heightInCentimeters,weightInKilograms,birthDate,birthCountry,firstName.default,lastName.default,birthCity.default,birthStateProvince.default,birthCity.cs,birthCity.de,birthCity.fi,birthCity.fr,birthCity.sk,birthCity.sv,lastName.cs,lastName.sk,headingPosition,fullName,season,team_abbr,lastName.sv,firstName.cs,firstName.sk,lastName.de,lastName.es,lastName.fi,firstName.fi,lastName.fr,firstName.de,firstName.es,firstName.sv,firstName.fr,fullName.1,fullName.2,fullName.3,fullName.4,fullName.5,fullName.6
8471233,https://assets.nhle.com/mugs/nhl/20072008/NJD/8471233.png,19.0,C,R,74,185,188,84,1985-05-13,CAN,Travis,Zajac,Winnipeg,MB,,,,,,,,,F,TRAVIS ZAJAC,20072008,NJD,,,,,,,,,,,,,,,,,,
8464977,https://assets.nhle.com/mugs/nhl/20072008/NJD/8464977.png,8.0,L,L,77,225,196,102,1978-06-16,LTU,Dainius,Zubrus,Elektrenai,,,,Elektrėnai,Elektrėnai,,,,,F,DAINIUS ZUBRUS,20072008,NJD,,,,,,,,,,,,,,,,,,
8469992,https://assets.nhle.com/mugs/nhl/20072008/NJD/8469992.png,2.0,D,R,73,202,185,92,1980-10-03,CAN,Sheldon,Brookbank,Lanigan,SK,,,,,,,,,D,SHELDON BROOKBANK,20072008,NJD,,,,,,,,,,,,,,,,,,
8472382,https://assets.nhle.com/mugs/nhl/20072008/NJD/8472382.png,6.0,D,L,71,190,180,86,1982-10-30,USA,Andy,Greene,Trenton,MI,,,,,,,,,D,ANDY GREENE,20072008,NJD,,,,,,,,,,,,,,,,,,
8468597,https://assets.nhle.com/mugs/nhl/20072008/NJD/8468597.png,24.0,D,L,79,230,201,104,1982-03-13,FIN,Olli,Malmivaara,Kajaani,,,,,,,Jkajana,,,D,OLLI MALMIVAARA,20072008,NJD,,,,,,,,,,,,,,,,,,
8468542,https://assets.nhle.com/mugs/nhl/20072008/NJD/8468542.png,7.0,D,L,73,200,185,91,1981-03-05,USA,Paul,Martin,Minneapolis,MN,,,,,,,,,D,PAUL MARTIN,20072008,NJD,,,,,,,,,,,,,,,,,,
8466309,https://assets.nhle.com/mugs/nhl/20072008/NJD/8466309.png,27.0,D,L,72,195,183,88,1978-03-19,USA,Mike,Mottau,Quincy,MA,,,,,,,,,D,MIKE MOTTAU,20072008,NJD,,,,,,,,,,,,,,,,,,
8469665,https://assets.nhle.com/mugs/nhl/20072008/NJD/8469665.png,29.0,D,L,72,191,183,87,1981-10-01,SWE,Johnny,Oduya,Stockholm,,,,Tukholma,,,,,,D,JOHNNY ODUYA,20072008,NJD,,,,,,,,,,,,,,,,,,
8466353,https://assets.nhle.com/mugs/nhl/20072008/NJD/8466353.png,28.0,D,R,74,220,188,100,1979-08-27,CZE,Karel,Rachunek,Zlin,,Zlín,,Zlín,,Zlín,,Rachůnek,,D,KAREL RACHUNEK,20072008,NJD,,,,,,,,,,,,,,,,,,
8460626,https://assets.nhle.com/mugs/nhl/20072008/NJD/8460626.png,24.0,D,L,75,215,191,98,1976-02-11,CAN,Bryce,Salvador,Brandon,MB,,,,,,,,,D,BRYCE SALVADOR,20072008,NJD,,,,,,,,,,,,,,,,,,
8467352,https://assets.nhle.com/mugs/nhl/20072008/NJD/8467352.png,2.0,D,L,74,215,188,98,1980-03-18,UKR,Vitaly,Vishnevski,Kharkov,,Charkov,,Harkova,,Charkov,Charkov,,,D,VITALY VISHNEVSKI,20072008,NJD,,,,,,,,,,,,,,,,,,
8465005,https://assets.nhle.com/mugs/nhl/20072008/NJD/8465005.png,5.0,D,L,76,215,193,98,1977-12-12,CAN,Colin,White,New Glasgow,NS,,,,,,,,,D,COLIN WHITE,20072008,NJD,,,,,,,,,,,,,,,,,,
8455710,https://assets.nhle.com/mugs/nhl/20072008/NJD/8455710.png,30.0,G,L,74,220,188,100,1972-05-06,CAN,Martin,Brodeur,Montréal,QC,,,,,,,,,G,MARTIN BRODEUR,20072008,NJD,,,,,,,,,,,,,,,,,,
8459463,https://assets.nhle.com/mugs/nhl/20072008/NJD/8459463.png,1.0,G,L,74,215,188,98,1975-04-04,CAN,Kevin,Weekes,Toronto,ON,,,,,,,,,G,KEVIN WEEKES,20072008,NJD,,,,,,,,,,,,,,,,,,
8466202,https://assets.nhle.com/mugs/nhl/20072008/BUF/8466202.png,61.0,R,L,72,190,183,86,1979-09-04,RUS,Maxim,Afinogenov,Moscow,,Moskva,Moskau,Moskova,Moscou,Moskva,Moskva,,,F,MAXIM AFINOGENOV,20072008,BUF,,,,,,,,,,,,,,,,,,
8470609,https://assets.nhle.com/mugs/nhl/20072008/BUF/8470609.png,56.0,R,R,75,225,191,102,1985-03-31,CAN,Steve,Bernier,Quebec City,QC,,,,Québec,,,,,F,STEVE BERNIER,20072008,BUF,,,,,,,,,,,,,,,,,,
8467878,https://assets.nhle.com/mugs/nhl/20072008/BUF/8467878.png,19.0,C,R,73,190,185,86,1981-05-07,USA,Tim,Connolly,Syracuse,NY,,,,,,,,,F,TIM CONNOLLY,20072008,BUF,,,,,,,,,,,,,,,,,,
8468700,https://assets.nhle.com/mugs/nhl/20072008/BUF/8468700.png,28.0,C,L,77,227,196,103,1982-02-03,USA,Paul,Gaustad,Fargo,ND,,,,,,,,,F,PAUL GAUSTAD,20072008,BUF,,,,,,,,,,,,,,,,,,
8462077,https://assets.nhle.com/mugs/nhl/20072008/BUF/8462077.png,55.0,C,L,73,198,185,90,1977-06-21,DEU,Jochen,Hecht,Mannheim,,,,,,,,,,F,JOCHEN HECHT,20072008,BUF,,,,,,,,,,,,,,,,,,
8471388,https://assets.nhle.com/mugs/nhl/20072008/BUF/8471388.png,36.0,R,R,73,198,185,90,1986-06-08,USA,Patrick,Kaleta,Buffalo,NY,,,,,,,,,F,PATRICK KALETA,20072008,BUF,,,,,,,,,,,,,,,,,,
8467502,https://assets.nhle.com/mugs/nhl/20072008/BUF/8467502.png,12.0,R,R,73,225,185,102,1978-12-23,CZE,Ales,Kotalik,Jindrichuv Hradec,,Jindřichův Hradec,,Jindřichův Hradec,,Jindřichův Hradec,,Kotalík,,F,ALES KOTALIK,20072008,BUF,,,,,,,,,,,,,,,,,,
8470667,https://assets.nhle.com/mugs/nhl/20072008/BUF/8470667.png,41.0,L,L,72,192,183,87,1985-04-06,CAN,Clarke,MacArthur,Lloydminster,AB,,,,,,,,,F,CLARKE MACARTHUR,20072008,BUF,,,,,,,,,,,,,,,,,,
8466216,https://assets.nhle.com/mugs/nhl/20072008/BUF/8466216.png,22.0,C,R,73,208,185,94,1979-02-15,CAN,Adam,Mair,Hamilton,ON,,,,,,,,,F,ADAM MAIR,20072008,BUF,,,,,,,,,,,,,,,,,,
8470230,https://assets.nhle.com/mugs/nhl/20072008/BUF/8470230.png,20.0,L,L,73,200,185,91,1984-04-15,CAN,Daniel,Paille,Welland,ON,,,,,,,,,F,DANIEL PAILLE,20072008,BUF,,,,,,,,,,,,,,,,,,
8467355,https://assets.nhle.com/mugs/nhl/20072008/BUF/8467355.png,76.0,L,L,76,240,193,109,1980-05-05,CAN,Andrew,Peters,St. Catharines,ON,,,,,,,,,F,ANDREW PETERS,20072008,BUF,,,,,,,,,,,,,,,,,,
8469506,https://assets.nhle.com/mugs/nhl/20072008/BUF/8469506.png,29.0,R,R,71,180,180,82,1982-11-30,CAN,Jason,Pominville,Repentigny,QC,,,,,,,,,F,JASON POMINVILLE,20072008,BUF,,,,,,,,,,,,,,,,,,
8469485,https://assets.nhle.com/mugs/nhl/20072008/BUF/8469485.png,9.0,C,L,69,184,175,83,1983-05-04,CAN,Derek,Roy,Ottawa,ON,,,,,,,,,F,DEREK ROY,20072008,BUF,,,,,,,,,,,,,,,,,,
8467905,https://assets.nhle.com/mugs/nhl/20072008/BUF/8467905.png,37.0,C,L,73,188,185,85,1980-05-16,USA,Michael,Ryan,Boston,MA,,,,,,,,,F,MICHAEL RYAN,20072008,BUF,,,,,,,,,,,,,,,,,,
8471226,https://assets.nhle.com/mugs/nhl/20072008/BUF/8471226.png,21.0,R,R,74,215,188,98,1985-10-30,USA,Drew,Stafford,Milwaukee,WI,,,,,,,,,F,DREW STAFFORD,20072008,BUF,,,,,,,,,,,,,,,,,,
8470598,https://assets.nhle.com/mugs/nhl/20072008/BUF/8470598.png,26.0,L,R,74,214,188,97,1984-01-19,AUT,Thomas,Vanek,Vienna,,,,,Vienne,Viedeň,Wien,,,F,THOMAS VANEK,20072008,BUF,,,,,,,,,,,,,,,,,,
8466285,https://assets.nhle.com/mugs/nhl/20072008/BUF/8466285.png,51.0,D,L,70,192,178,87,1979-05-23,CAN,Brian,Campbell,Strathroy,ON,,,,,,,,,D,BRIAN CAMPBELL,20072008,BUF,,,,,,,,,,,,,,,,,,
8471256,https://assets.nhle.com/mugs/nhl/20072008/BUF/8471256.png,3.0,D,L,76,199,193,90,1986-08-15,CAN,Michael,Funk,Abbotsford,BC,,,,,,,,,D,MICHAEL FUNK,20072008,BUF,,,,,,,,,,,,,,,,,,
8471752,https://assets.nhle.com/mugs/nhl/20072008/BUF/8471752.png,17.0,D,L,75,205,191,93,1987-03-11,CAN,Marc-Andre,Gragnani,Montréal,QC,,,,,,,,,D,MARC-ANDRE GRAGNANI,20072008,BUF,,,,,,,,,,,,,,,,,,
8467354,https://assets.nhle.com/mugs/nhl/20072008/BUF/8467354.png,45.0,D,L,75,210,191,95,1980-07-22,RUS,Dmitri,Kalinin,Chelyabinsk,,Čeljabinsk,,Tsheljabinsk,,Čeljabinsk,,,,D,DMITRI KALININ,20072008,BUF,,,,,,,,,,,,,,,,,,
8465042,https://assets.nhle.com/mugs/nhl/20072008/BUF/8465042.png,5.0,D,L,74,213,188,97,1977-09-25,FIN,Toni,Lydman,Lahti,,,,,,,Lahtis,,,D,TONI LYDMAN,20072008,BUF,,,,,,,,,,,,,,,,,,
8449924,https://assets.nhle.com/mugs/nhl/20072008/BUF/8449924.png,27.0,D,R,74,198,188,90,1968-07-03,FIN,Teppo,Numminen,Tampere,,,,,,,Tammerfors,,,D,TEPPO NUMMINEN,20072008,BUF,,,,,,,,,,,,,,,,,,
8469509,https://assets.nhle.com/mugs/nhl/20072008/BUF/8469509.png,38.0,D,L,73,198,185,90,1983-03-30,CAN,Nathan,Paetsch,Leroy,SK,,,,,,,,,D,NATHAN PAETSCH,20072008,BUF,,,,,,,,,,,,,,,,,,
8459538,https://assets.nhle.com/mugs/nhl/20072008/BUF/8459538.png,4.0,D,L,75,207,191,94,1975-08-14,CAN,Nolan,Pratt,Fort McMurray,AB,,,,,,,,,D,NOLAN PRATT,20072008,BUF,,,,,,,,,,,,,,,,,,
8471284,https://assets.nhle.com/mugs/nhl/20072008/BUF/8471284.png,44.0,D,L,72,200,183,91,1986-06-08,SVK,Andrej,Sekera,Bojnice,,,,,,,,,,D,ANDREJ SEKERA,20072008,BUF,,,,,,,,,,,,,,,,,,
8467439,https://assets.nhle.com/mugs/nhl/20072008/BUF/8467439.png,6.0,D,L,72,210,183,95,1974-02-11,CZE,Jaroslav,Spacek,Rokycany,,,,,,,,Špaček,,D,JAROSLAV SPACEK,20072008,BUF,,,,,,,,,,,,,,,,,,
8466182,https://assets.nhle.com/mugs/nhl/20072008/BUF/8466182.png,20.0,D,L,76,209,193,95,1979-01-10,SWE,Henrik,Tallinder,Stockholm,,,,Tukholma,,,,,,D,HENRIK TALLINDER,20072008,BUF,,,,,,,,,,,,,,,,,,
8473426,https://assets.nhle.com/mugs/nhl/20072008/BUF/8473426.png,6.0,D,L,74,217,188,98,1987-12-16,USA,Mike,Weber,Pittsburgh,PA,,,,,,,,,D,MIKE WEBER,20072008,BUF,,,,,,,,,,,,,,,,,,
8468011,https://assets.nhle.com/mugs/nhl/20072008/BUF/8468011.png,30.0,G,L,74,170,188,77,1980-07-17,USA,Ryan,Miller,East Lansing,MI,,,,,,,,,G,RYAN MILLER,20072008,BUF,,,,,,,,,,,,,,,,,,
8459432,https://assets.nhle.com/mugs/nhl/20072008/BUF/8459432.png,35.0,G,L,71,169,180,77,1975-01-12,CAN,Jocelyn,Thibault,Montréal,QC,,,,,,,,,G,JOCELYN THIBAULT,20072008,BUF,,,,,,,,,,,,,,,,,,
8470655,https://assets.nhle.com/mugs/nhl/20072008/STL/8470655.png,42.0,C,R,75,215,191,98,1984-05-01,USA,David,Backes,Minneapolis,MN,,,,,,,,,F,DAVID BACKES,20072008,STL,,,,,,,,,,,,,,,,,,
8468504,https://assets.nhle.com/mugs/nhl/20072008/STL/8468504.png,22.0,C,R,72,199,183,90,1982-04-17,CAN,Brad,Boyes,Mississauga,ON,,,,,,,,,F,BRAD BOYES,20072008,STL,,,,,,,,,,,,,,,,,,
8470330,https://assets.nhle.com/mugs/nhl/20072008/STL/8470330.png,37.0,C,R,74,209,188,95,1980-04-05,CAN,Mike,Glumac,Niagara Falls,ON,,,,,,,,,F,MIKE GLUMAC,20072008,STL,,,,,,,,,,,,,,,,,,
8465175,https://assets.nhle.com/mugs/nhl/20072008/STL/8465175.png,13.0,R,R,72,187,183,85,1977-01-30,USA,Dan,Hinote,Leesburg,FL,,,,,,,,,F,DAN HINOTE,20072008,STL,,,,,,,,,,,,,,,,,,
8470123,https://assets.nhle.com/mugs/nhl/20072008/STL/8470123.png,55.0,R,R,72,215,183,98,1984-04-15,USA,Cam,Janssen,St. Louis,MO,,,,,,,,,F,CAM JANSSEN,20072008,STL,,,,,,,,,,,,,,,,,,
8466109,https://assets.nhle.com/mugs/nhl/20072008/STL/8466109.png,20.0,R,R,74,202,188,92,1974-10-03,CAN,Mike,Johnson,Scarborough,ON,,,,,,,,,F,MIKE JOHNSON,20072008,STL,,,,,,,,,,,,,,,,,,
8460527,https://assets.nhle.com/mugs/nhl/20072008/STL/8460527.png,17.0,C,L,73,199,185,90,1976-06-14,CAN,Ryan,Johnson,Thunder Bay,ON,,,,,,,,,F,RYAN JOHNSON,20072008,STL,,,,,,,,,,,,,,,,,,
8459426,https://assets.nhle.com/mugs/nhl/20072008/STL/8459426.png,9.0,L,L,70,185,178,84,1974-10-16,CAN,Paul,Kariya,Vancouver,BC,,,,,,,,,F,PAUL KARIYA,20072008,STL,,,,,,,,,,,,,,,,,,
8470294,https://assets.nhle.com/mugs/nhl/20072008/STL/8470294.png,19.0,L,L,75,231,191,105,1984-06-27,CAN,DJ,King,Meadow Lake,SK,,,,,,,,,F,DJ KING,20072008,STL,,,,,,,,,,,,,,,,,,
8459514,https://assets.nhle.com/mugs/nhl/20072008/STL/8459514.png,21.0,R,R,73,222,185,101,1974-10-24,CAN,Jamal,Mayers,Toronto,ON,,,,,,,,,F,JAMAL MAYERS,20072008,STL,,,,,,,,,,,,,,,,,,
8469508,https://assets.nhle.com/mugs/nhl/20072008/STL/8469508.png,18.0,C,L,73,205,185,93,1983-03-02,CAN,Jay,McClement,Kingston,ON,,,,,,,,,F,JAY MCCLEMENT,20072008,STL,,,,,,,,,,,,,,,,,,
8468434,https://assets.nhle.com/mugs/nhl/20072008/STL/8468434.png,10.0,L,L,70,175,178,79,1977-08-25,CAN,Andy,McDonald,Strathroy,ON,,,,,,,,,F,ANDY MCDONALD,20072008,STL,,,,,,,,,,,,,,,,,,
8474102,https://assets.nhle.com/mugs/nhl/20072008/STL/8474102.png,57.0,L,R,73,196,185,89,1988-05-28,CAN,David,Perron,Sherbrooke,QC,,,,,,,,,F,DAVID PERRON,20072008,STL,,,,,,,,,,,,,,,,,,
8458534,https://assets.nhle.com/mugs/nhl/20072008/STL/8458534.png,26.0,L,L,73,205,185,93,1971-03-11,CZE,Martin,Rucinsky,Most,,,,,,,,Ručinský,Ručinský,F,MARTIN RUCINSKY,20072008,STL,,,,,,,,,,,,,,,,,,
8470223,https://assets.nhle.com/mugs/nhl/20072008/STL/8470223.png,25.0,C,L,70,191,178,87,1982-09-30,CAN,Yan,Stastny,Quebec City,QC,,,,Québec,,,,,F,YAN STASTNY,20072008,STL,,,,,,,,,,,,,,,,,,
8470740,https://assets.nhle.com/mugs/nhl/20072008/STL/8470740.png,12.0,R,R,71,195,180,88,1983-02-04,USA,Lee,Stempniak,West Seneca,NY,,,,,,,,,F,LEE STEMPNIAK,20072008,STL,,,,,,,,,,,,,,,,,,
8458229,https://assets.nhle.com/mugs/nhl/20072008/STL/8458229.png,7.0,L,L,74,235,188,107,1972-03-28,USA,Keith,Tkachuk,Melrose,MA,,,,,,,,,F,KEITH TKACHUK,20072008,STL,,,,,,,,,,,,,,,,,,
8458361,https://assets.nhle.com/mugs/nhl/20072008/STL/8458361.png,39.0,C,L,71,202,180,92,1971-01-21,USA,Doug,Weight,Detroit,MI,,,,,,,,,F,DOUG WEIGHT,20072008,STL,,,,,,,,,,,,,,,,,,
8467348,https://assets.nhle.com/mugs/nhl/20072008/STL/8467348.png,55.0,D,L,76,210,193,95,1980-04-28,SWE,Christian,Backman,Gothenburg,,Göteborg,Göteborg,Göteborg,Göteborg,Göteborg,Göteborg,,,D,CHRISTIAN BACKMAN,20072008,STL,Bäckman,,,,,,,,,,,,,,,,,
8466142,https://assets.nhle.com/mugs/nhl/20072008/STL/8466142.png,4.0,D,L,76,216,193,98,1979-04-17,CAN,Eric,Brewer,Vernon,BC,,,,,,,,,D,ERIC BREWER,20072008,STL,,,,,,,,,,,,,,,,,,
8468750,https://assets.nhle.com/mugs/nhl/20072008/STL/8468750.png,36.0,D,R,70,186,178,84,1980-04-15,CAN,Micki,Dupont,Calgary,AB,,,,,,,,,D,MICKI DUPONT,20072008,STL,,,,,,,,,,,,,,,,,,
8467890,https://assets.nhle.com/mugs/nhl/20072008/STL/8467890.png,5.0,D,L,72,203,183,92,1981-03-05,CAN,Barret,Jackman,Trail,BC,,,,,,,,,D,BARRET JACKMAN,20072008,STL,,,,,,,,,,,,,,,,,,
8473446,https://assets.nhle.com/mugs/nhl/20072008/STL/8473446.png,6.0,D,R,76,225,193,102,1988-03-21,USA,Erik,Johnson,Bloomington,MN,,,,,,,,,D,ERIK JOHNSON,20072008,STL,,,,,,,,,,,,,,,,,,
8462045,https://assets.nhle.com/mugs/nhl/20072008/STL/8462045.png,77.0,D,L,76,203,193,92,1977-09-08,CAN,Jay,McKee,Kingston,ON,,,,,,,,,D,JAY MCKEE,20072008,STL,,,,,,,,,,,,,,,,,,
8471392,https://assets.nhle.com/mugs/nhl/20072008/STL/8471392.png,46.0,D,R,74,240,188,109,1986-04-28,CZE,Roman,Polak,Ostrava,,,,,,,,Polák,Polák,D,ROMAN POLAK,20072008,STL,,,,,,,,,,,,,,,,,,
8460626,https://assets.nhle.com/mugs/nhl/20072008/STL/8460626.png,27.0,D,L,75,215,191,98,1976-02-11,CAN,Bryce,Salvador,Brandon,MB,,,,,,,,,D,BRYCE SALVADOR,20072008,STL,,,,,,,,,,,,,,,,,,
8473916,https://assets.nhle.com/mugs/nhl/20072008/STL/8473916.png,49.0,D,L,74,200,188,91,1984-03-06,USA,Steve,Wagner,Grand Rapids,MN,,,,,,,,,D,STEVE WAGNER,20072008,STL,,,,,,,,,,,,,,,,,,
8467408,https://assets.nhle.com/mugs/nhl/20072008/STL/8467408.png,28.0,D,R,76,215,193,98,1980-04-07,CAN,Matt,Walker,Beaverlodge,AB,,,,,,,,,D,MATT WALKER,20072008,STL,,,,,,,,,,,,,,,,,,
8469480,https://assets.nhle.com/mugs/nhl/20072008/STL/8469480.png,29.0,D,L,75,227,191,103,1983-09-01,CAN,Jeff,Woywitka,Vermilion,AB,,,,,,,,,D,JEFF WOYWITKA,20072008,STL,,,,,,,,,,,,,,,,,,
8470751,https://assets.nhle.com/mugs/nhl/20072008/STL/8470751.png,45.0,G,L,75,201,191,91,1984-06-22,CAN,Chris,Beckford-Tseu,Toronto,ON,,,,,,,,,G,CHRIS BECKFORD-TSEU,20072008,STL,,,,,,,,,,,,,,,,,,
8459308,https://assets.nhle.com/mugs/nhl/20072008/STL/8459308.png,34.0,G,L,70,200,178,91,1973-02-04,CAN,Manny,Legace,Toronto,ON,,,,,,,,,G,MANNY LEGACE,20072008,STL,,,,,,,,,,,,,,,,,,
8471230,https://assets.nhle.com/mugs/nhl/20072008/STL/8471230.png,40.0,G,R,72,180,183,82,1986-04-01,CZE,Marek,Schwarz,Mlada Boleslav,,Mladá Boleslav,,Mladá Boleslav,,Mladá Boleslav,,,,G,MAREK SCHWARZ,20072008,STL,,,,,,,,,,,,,,,,,,
8470084,https://assets.nhle.com/mugs/nhl/20072008/STL/8470084.png,35.0,G,L,74,200,188,91,1984-05-18,FIN,Hannu,Toivonen,Kalvola,,,,,,,,,,G,HANNU TOIVONEN,20072008,STL,,,,,,,,,,,,,,,,,,
8460502,https://assets.nhle.com/mugs/nhl/20072008/FLA/8460502.png,33.0,R,R,77,222,196,101,1976-07-03,CAN,Wade,Belak,Saskatoon,SK,,,,,,,,,F,WADE BELAK,20072008,FLA,,,,,,,,,,,,,,,,,,
8471266,https://assets.nhle.com/mugs/nhl/20072008/FLA/8471266.png,10.0,L,L,72,212,183,96,1984-11-24,USA,David,Booth,Detroit,MI,,,,,,,,,F,DAVID BOOTH,20072008,FLA,,,,,,,,,,,,,,,,,,
8471906,https://assets.nhle.com/mugs/nhl/20072008/FLA/8471906.png,45.0,C,L,73,201,185,91,1985-01-06,CAN,David,Brine,Truro,NS,,,,,,,,,F,DAVID BRINE,20072008,FLA,,,,,,,,,,,,,,,,,,
8470169,https://assets.nhle.com/mugs/nhl/20072008/FLA/8470169.png,11.0,C,L,72,188,183,85,1983-12-17,CAN,Gregory,Campbell,London,ON,,,,,Londýn,,,,F,GREGORY CAMPBELL,20072008,FLA,,,,,,,,,,,,,,,,,,
8462041,https://assets.nhle.com/mugs/nhl/20072008/FLA/8462041.png,14.0,R,R,74,195,188,88,1977-03-09,CZE,Radek,Dvorak,Tabor,,Tábor,,Tábor ,,Tábor,,Dvořák,,F,RADEK DVORAK,20072008,FLA,,,,,,,,,,,,,,,,,,
8470854,https://assets.nhle.com/mugs/nhl/20072008/FLA/8470854.png,37.0,L,L,73,213,185,97,1983-11-29,CAN,Tanner,Glass,Regina,SK,,,,,,,,,F,TANNER GLASS,20072008,FLA,,,,,,,,,,,,,,,,,,
8470305,https://assets.nhle.com/mugs/nhl/20072008/FLA/8470305.png,51.0,C,R,74,208,188,94,1982-10-24,USA,Rob,Globke,Farmington,MI,,,,,,,,,F,ROB GLOBKE,20072008,FLA,,,,,,,,,,,,,,,,,,
8470596,https://assets.nhle.com/mugs/nhl/20072008/FLA/8470596.png,16.0,R,R,74,229,188,104,1985-05-29,CAN,Nathan,Horton,Welland,ON,,,,,,,,,F,NATHAN HORTON,20072008,FLA,,,,,,,,,,,,,,,,,,
8466140,https://assets.nhle.com/mugs/nhl/20072008/FLA/8466140.png,12.0,C,L,74,210,188,95,1978-12-05,FIN,Olli,Jokinen,Kuopio,,,,,,,,,,F,OLLI JOKINEN,20072008,FLA,,,,,,,,,,,,,,,,,,
8470631,https://assets.nhle.com/mugs/nhl/20072008/FLA/8470631.png,28.0,C,R,74,194,188,88,1984-11-18,CZE,Kamil,Kreps,Litomerice,,Litoměřice,,Litoměřice,,Litoměřice,,,,F,KAMIL KREPS,20072008,FLA,,,,,,,,,,,,,,,,,,
8470970,https://assets.nhle.com/mugs/nhl/20072008/FLA/8470970.png,50.0,C,R,75,195,191,88,1985-05-15,USA,Drew,Larman,Buffalo,NY,,,,,,,,,F,DREW LARMAN,20072008,FLA,,,,,,,,,,,,,,,,,,
